project_id,legacy_ocms_code,as_of_date,pre_paimana_observation_months,pre_paimana_schedule_revision_count,pre_paimana_cost_revision_count,pre_paimana_initial_cost,pre_paimana_latest_known_cost,pre_paimana_max_cost_escalation_pct,pre_paimana_initial_doc,pre_paimana_latest_doc,pre_paimana_max_schedule_slippage_months,max_source_date
49150,N24001901,2025-04,0,0,0,,,0.0,,,0.0,
503500,N24001550,2025-04,2,0,0,24001550.0,24001550.0,0.0,2024-09,2024-09,0.0,2024-03
50500,N24001963,2025-04,1,0,0,2.0,2.0,0.0,2024-10,2024-10,0.0,2024-03
50600,N24001926,2025-04,1,0,0,50.0,50.0,0.0,2025-06,2025-06,0.0,2024-03
50850,N24002131,2025-04,0,0,0,,,0.0,,,0.0,
50860,N24002106,2025-04,1,0,0,4.0,4.0,0.0,2025-03,2025-03,0.0,2024-03
51700,N24001394,2025-04,3,0,0,24001394.0,24001394.0,0.0,2023-02,2023-02,0.0,2024-03
52000,N24001338,2025-04,3,0,2,1330.0,1122.0,0.0,2023-12,2023-12,0.0,2024-03
55000,N24002155,2025-04,0,0,0,,,0.0,,,0.0,
55937,N24001123,2025-04,5,0,1,1209.0,24001123.0,1985104.549214227,2019-06,2019-06,0.0,2024-03
59000,N24001438,2025-04,2,0,0,24001438.0,24001438.0,0.0,2023-12,2023-12,0.0,2024-03
602098,N28000130,2025-04,5,1,0,28000130.0,28000130.0,0.0,2018-01,2022-07,54.0,2024-03
602099,N42000008,2025-04,4,0,0,42000008.0,42000008.0,0.0,2022-06,2022-06,0.0,2024-03
602181,N18000325,2025-04,3,0,2,18000325.0,349.0,0.0,2024-03,2024-03,0.0,2024-03
602182,N18000362,2025-04,2,0,1,360.0,346.0,0.0,2032-02,2032-02,0.0,2024-03
602185,N18000014,2025-04,11,0,2,4.0,372.0,9450.0,2013-03,2013-03,0.0,2024-03
602193,N18000010,2025-04,8,1,2,1000.0,1000.0,0.0,2010-07,2016-02,67.0,2024-03
602195,N18000042,2025-04,11,2,1,18000042.0,6.0,0.0,2014-07,2017-06,35.0,2024-03
