agency,as_of_date,window,completed_count,delay_count,delay_rate_raw,delay_rate_smoothed,mean_delay_months,median_delay_months,cost_obs_count,cost_overrun_count,cost_overrun_rate_raw,cost_overrun_rate_smoothed,mean_cost_overrun_pct,median_cost_overrun_pct,max_source_date
"(NATIONAL 
2500MW) AND KURNOOL (1000MW,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
2500MW) AND KURNOOL (1000MW,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
27.73 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
27.73 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
27.73 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
27.73 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
273.80 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
273.80 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
273.80 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
273.80 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
28.89 KM,2025-04,lifetime,1,0,,0.7884231536926148,,,0,0,,0.631578947368421,,,2018-03
28.89 KM,2025-04,10y,1,0,,0.8138020833333334,,,0,0,,0.631578947368421,,,2018-03
28.89 KM,2025-04,5y,0,0,,0.9871794871794872,,,0,0,,0.631578947368421,,,
28.89 KM,2025-04,3y,0,0,,0.9696969696969697,,,0,0,,0.631578947368421,,,
29.225,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
29.225,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
29.225,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
29.225,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
29.48 KM,2025-04,lifetime,1,1,1.0,0.9550898203592815,1.0,1.0,0,0,,0.631578947368421,,,2024-04
29.48 KM,2025-04,10y,1,1,1.0,0.98046875,1.0,1.0,0,0,,0.631578947368421,,,2024-04
29.48 KM,2025-04,5y,1,1,1.0,0.9893162393162394,1.0,1.0,0,0,,0.631578947368421,,,2024-04
29.48 KM,2025-04,3y,1,1,1.0,0.9747474747474748,1.0,1.0,0,0,,0.631578947368421,,,2024-04
299.2 KM),2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
299.2 KM),2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
299.2 KM),2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
299.2 KM),2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
2G,2025-04,lifetime,22,22,1.0,1.0,36.22727272727273,32.5,0,0,,0.631578947368421,,,2015-03
2G,2025-04,10y,0,0,,1.0,,,0,0,,0.631578947368421,,,
2G,2025-04,5y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
2G,2025-04,3y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
2G+3G,2025-04,lifetime,1,1,1.0,1.0,7.0,7.0,0,0,,0.631578947368421,,,2017-03
2G+3G,2025-04,10y,1,1,1.0,1.0,7.0,7.0,0,0,,0.631578947368421,,,2017-03
2G+3G,2025-04,5y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
2G+3G,2025-04,3y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
2L,2025-04,lifetime,1,1,1.0,0.9619358346927678,49.0,49.0,0,0,,0.631578947368421,,,2020-03
2L,2025-04,10y,1,1,1.0,0.9590909090909091,49.0,49.0,0,0,,0.631578947368421,,,2020-03
2L,2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
2L,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
2L+PS,2025-04,lifetime,1,1,1.0,0.9792408066429418,86.0,86.0,0,0,,0.631578947368421,,,2021-03
2L+PS,2025-04,10y,1,1,1.0,0.9818181818181818,86.0,86.0,0,0,,0.631578947368421,,,2021-03
2L+PS,2025-04,5y,1,1,1.0,0.9785223367697594,86.0,86.0,0,0,,0.631578947368421,,,2021-03
2L+PS,2025-04,3y,0,0,,0.972972972972973,,,0,0,,0.631578947368421,,,
"2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS",2025-04,lifetime,1,0,0.0,0.010683760683760682,0.0,0.0,0,0,,0.631578947368421,,,2024-07
"2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS",2025-04,10y,1,0,0.0,0.011261261261261262,0.0,0.0,0,0,,0.6547619047619048,,,2024-07
"2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS",2025-04,5y,1,0,0.0,0.013812154696132596,0.0,0.0,0,0,,0.6493506493506493,,,2024-07
"2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS",2025-04,3y,1,0,0.0,0.017482517482517484,0.0,0.0,0,0,,0.5967741935483871,,,2024-07
2X1000 MW] [SPV NAME POWERGRID KUDANKULAM TARNSMISSION LIMITED,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
2X1000 MW] [SPV NAME POWERGRID KUDANKULAM TARNSMISSION LIMITED,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
2X1000 MW] [SPV NAME POWERGRID KUDANKULAM TARNSMISSION LIMITED,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
2X1000 MW] [SPV NAME POWERGRID KUDANKULAM TARNSMISSION LIMITED,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
2X195 MW,2025-04,lifetime,1,1,1.0,0.9029451137884873,56.0,56.0,0,0,,0.631578947368421,,,2017-09
2X195 MW,2025-04,10y,1,1,1.0,0.9208566108007449,56.0,56.0,0,0,,0.631578947368421,,,2017-09
2X195 MW,2025-04,5y,0,0,,0.96875,,,0,0,,0.631578947368421,,,
