ablation,feature,importance,rank
D_No_Schedule_Derived,cumulative_expenditure_t,0.01875,15
D_No_Schedule_Derived,agency_mean_cost_t,0.018449,16
D_No_Schedule_Derived,revised_cost_t,0.017357,17
D_No_Schedule_Derived,original_cost_crore,0.016152,18
D_No_Schedule_Derived,original_cost_log,0.015664,19
D_No_Schedule_Derived,state_active_project_count_t,0.013734,20
D_No_Schedule_Derived,cumulative_expenditure_lag1,0.012248,21
D_No_Schedule_Derived,state_mean_cost_t,0.010771,22
D_No_Schedule_Derived,avg_monthly_expenditure_to_date_t,0.010438,23
D_No_Schedule_Derived,physical_progress_lag3,0.008884,24
D_No_Schedule_Derived,state_mean_progress_t,0.008366,25
D_No_Schedule_Derived,state_mean_expenditure_ratio_t,0.008345,26
D_No_Schedule_Derived,progress_std_to_date_t,0.008292,27
D_No_Schedule_Derived,state_median_progress_t,0.008248,28
D_No_Schedule_Derived,largest_cost_revision_pct_to_date_t,0.00783,29
D_No_Schedule_Derived,cost_escalation_pct_t,0.007045,30
D_No_Schedule_Derived,monthly_expenditure_delta_t,0.005471,31
D_No_Schedule_Derived,cumulative_expenditure_lag3,0.005392,32
D_No_Schedule_Derived,expenditure_change_1m_t,0.004192,33
D_No_Schedule_Derived,expenditure_growth_rate_t,0.004076,34
D_No_Schedule_Derived,expenditure_velocity_3m_t,0.003852,35
D_No_Schedule_Derived,longest_stagnation_to_date_t,0.003852,35
D_No_Schedule_Derived,expenditure_change_3m_t,0.003776,36
D_No_Schedule_Derived,consecutive_observation_count_t,0.003114,37
D_No_Schedule_Derived,has_cost_revision_t,0.003092,38
D_No_Schedule_Derived,reporting_structure_version_t_v2_focused_cohort,0.002991,39
D_No_Schedule_Derived,months_since_last_cost_revision_t,0.002944,40
D_No_Schedule_Derived,progress_change_last_3m_t,0.002923,41
D_No_Schedule_Derived,progress_change_2m_t,0.002901,42
D_No_Schedule_Derived,progress_velocity_3m_t,0.002899,43
D_No_Schedule_Derived,progress_change_3m_t,0.002871,44
D_No_Schedule_Derived,focused_cohort_indicator_t,0.002867,45
D_No_Schedule_Derived,progress_velocity_1m_t,0.002421,46
D_No_Schedule_Derived,months_since_first_observed_t,0.002372,47
D_No_Schedule_Derived,progress_change_1m_t,0.002349,48
D_No_Schedule_Derived,months_observed_to_date_t,0.002218,49
D_No_Schedule_Derived,reporting_structure_version_t_v1_initial,0.002138,50
D_No_Schedule_Derived,months_since_last_progress_increase_t,0.001992,51
D_No_Schedule_Derived,project_size_category_Medium (150-500Cr),0.001915,52
D_No_Schedule_Derived,cost_revision_count_to_date_t,0.0014,53
D_No_Schedule_Derived,project_size_category_Mega (>1000Cr),0.00133,54
D_No_Schedule_Derived,project_size_category_Large (500-1000Cr),0.001061,55
D_No_Schedule_Derived,progress_velocity_6m_t,0.00105,56
D_No_Schedule_Derived,expenditure_velocity_6m_t,0.001018,57
D_No_Schedule_Derived,cost_reduction_pct_as_of_t,0.001018,57
D_No_Schedule_Derived,table_source_t_Table 4: All Ongoing Projects,0.001001,58
D_No_Schedule_Derived,table_source_t_Table 7: All Ongoing Projects,0.000803,59
D_No_Schedule_Derived,missing_expenditure_t,0.00074,60
D_No_Schedule_Derived,table_source_t_Table 6: All Ongoing Projects,0.000718,61
D_No_Schedule_Derived,stagnant_2m_t,0.000598,62
D_No_Schedule_Derived,missing_physical_progress_t,0.000443,63
D_No_Schedule_Derived,months_since_last_observation_t,0.000399,64
D_No_Schedule_Derived,stagnant_3m_t,0.000391,65
D_No_Schedule_Derived,project_size_category_Small (<150Cr),0.000292,66
D_No_Schedule_Derived,observation_coverage_ratio_t,0.000218,67
D_No_Schedule_Derived,observation_gap_flag_t,0.000182,68
D_No_Schedule_Derived,stagnant_6m_t,0.000103,69
D_No_Schedule_Derived,negative_expenditure_delta_flag_t,1.6e-05,70
D_No_Schedule_Derived,missing_revised_cost_t,1.4e-05,71
D_No_Schedule_Derived,project_size_category_Unknown,1.4e-05,71
E_Operational_State_Only,max_progress_to_date_t,0.103442,1
E_Operational_State_Only,average_progress_to_date_t,0.092877,2
E_Operational_State_Only,project_age_months_t,0.091821,3
E_Operational_State_Only,min_progress_to_date_t,0.089795,4
E_Operational_State_Only,planned_duration_months,0.070279,5
E_Operational_State_Only,physical_progress_t,0.068642,6
E_Operational_State_Only,expenditure_ratio_pct_t,0.063255,7
E_Operational_State_Only,remaining_physical_progress_t,0.053394,8
E_Operational_State_Only,physical_progress_lag1,0.044139,9
E_Operational_State_Only,physical_progress_lag2,0.036105,10
E_Operational_State_Only,cumulative_expenditure_t,0.029698,11
E_Operational_State_Only,physical_progress_lag3,0.028553,12
E_Operational_State_Only,original_cost_log,0.02606,13
E_Operational_State_Only,original_cost_crore,0.023723,14
E_Operational_State_Only,revised_cost_t,0.023398,15
E_Operational_State_Only,cumulative_expenditure_lag1,0.016905,16
E_Operational_State_Only,largest_cost_revision_pct_to_date_t,0.014788,17
E_Operational_State_Only,avg_monthly_expenditure_to_date_t,0.013518,18
E_Operational_State_Only,progress_std_to_date_t,0.010114,19
E_Operational_State_Only,cost_escalation_pct_t,0.00944,20
E_Operational_State_Only,cumulative_expenditure_lag3,0.008321,21
E_Operational_State_Only,expenditure_change_1m_t,0.007062,22
E_Operational_State_Only,expenditure_velocity_3m_t,0.006415,23
E_Operational_State_Only,expenditure_growth_rate_t,0.006131,24
E_Operational_State_Only,monthly_expenditure_delta_t,0.005995,25
E_Operational_State_Only,expenditure_change_3m_t,0.005376,26
E_Operational_State_Only,longest_stagnation_to_date_t,0.00522,27
E_Operational_State_Only,months_since_last_cost_revision_t,0.004494,28
E_Operational_State_Only,progress_velocity_3m_t,0.003782,29
E_Operational_State_Only,has_cost_revision_t,0.003779,30
E_Operational_State_Only,progress_change_last_3m_t,0.003725,31
E_Operational_State_Only,progress_change_2m_t,0.003128,32
E_Operational_State_Only,progress_change_3m_t,0.00296,33
E_Operational_State_Only,progress_velocity_1m_t,0.00279,34
E_Operational_State_Only,months_since_last_progress_increase_t,0.002771,35
E_Operational_State_Only,progress_change_1m_t,0.002724,36
E_Operational_State_Only,cost_revision_count_to_date_t,0.002441,37
E_Operational_State_Only,project_size_category_Medium (150-500Cr),0.002149,38
E_Operational_State_Only,project_size_category_Large (500-1000Cr),0.002028,39
E_Operational_State_Only,expenditure_velocity_6m_t,0.001964,40
E_Operational_State_Only,cost_reduction_pct_as_of_t,0.001755,41
E_Operational_State_Only,progress_velocity_6m_t,0.001665,42
E_Operational_State_Only,project_size_category_Mega (>1000Cr),0.001201,43
E_Operational_State_Only,stagnant_3m_t,0.000975,44
E_Operational_State_Only,stagnant_2m_t,0.000838,45
E_Operational_State_Only,project_size_category_Small (<150Cr),0.000132,46
E_Operational_State_Only,negative_expenditure_delta_flag_t,9.3e-05,47
E_Operational_State_Only,stagnant_6m_t,7.1e-05,48
E_Operational_State_Only,project_size_category_Unknown,6.5e-05,49
F_Conservative,average_progress_to_date_t,0.10773,1
F_Conservative,min_progress_to_date_t,0.089382,2
F_Conservative,max_progress_to_date_t,0.086923,3
F_Conservative,project_age_months_t,0.068533,4
F_Conservative,remaining_physical_progress_t,0.054597,5
F_Conservative,planned_duration_months,0.048547,6
F_Conservative,physical_progress_t,0.042655,7
F_Conservative,physical_progress_lag1,0.041567,8
F_Conservative,expenditure_ratio_pct_t,0.041143,9
F_Conservative,agency_mean_progress_t,0.037305,10
F_Conservative,agency_active_project_count_t,0.029656,11
F_Conservative,agency_median_progress_t,0.028934,12
F_Conservative,physical_progress_lag2,0.027281,13
F_Conservative,agency_mean_expenditure_ratio_t,0.019748,14
F_Conservative,cumulative_expenditure_t,0.01875,15
F_Conservative,agency_mean_cost_t,0.018449,16
F_Conservative,revised_cost_t,0.017357,17
F_Conservative,original_cost_crore,0.016152,18
F_Conservative,original_cost_log,0.015664,19
F_Conservative,state_active_project_count_t,0.013734,20
F_Conservative,cumulative_expenditure_lag1,0.012248,21
F_Conservative,state_mean_cost_t,0.010771,22
F_Conservative,avg_monthly_expenditure_to_date_t,0.010438,23
F_Conservative,physical_progress_lag3,0.008884,24
F_Conservative,state_mean_progress_t,0.008366,25
F_Conservative,state_mean_expenditure_ratio_t,0.008345,26
F_Conservative,progress_std_to_date_t,0.008292,27
