project_id,legacy_ocms_code,agency,sector,project_size_category,original_cost_crore,original_cost_log,planned_duration_months,pre_paimana_obs_months,historical_schedule_revision_count,historical_cost_revision_count,pre_paimana_max_schedule_slippage_months,pre_paimana_max_cost_escalation_pct
618200,N24001928,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,317.74,5.764375723431487,37.0,1,0,0,0.0,0.0
618204,N24001999,BRO,ROAD TRANSPORT & HIGHWAYS,Major,426.14,6.057111828343837,43.0,1,0,0,0.0,0.0
618216,N24001915,BRO,ROAD TRANSPORT & HIGHWAYS,Major,230.54,5.444752644777583,63.0,1,0,0,0.0,0.0
618217,N24001916,BRO,ROAD TRANSPORT & HIGHWAYS,Major,314.67,5.754697364124307,62.0,1,0,0,0.0,0.0
618222,N24002119,BRO,ROAD TRANSPORT & HIGHWAYS,Major,562.45,6.334078598398358,39.0,1,0,0,0.0,0.0
618226,N24001898,BRO,ROAD TRANSPORT & HIGHWAYS,Major,272.49,5.611265058122292,52.0,1,0,0,0.0,0.0
618227,N24001850,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,995.04,6.903787417420752,42.0,2,0,1,0.0,0.0
618228,N24001201,MoRTH,ROAD TRANSPORT & HIGHWAYS,Mega,2926.42,7.981876768027601,67.0,5,3,3,189.0,22625.0
618229,N24001462,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,211.09,5.357010712887255,51.0,2,0,0,0.0,0.0
618230,N24001470,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,314.32,5.753587996191707,56.0,2,0,0,0.0,0.0
618231,N24001447,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,371.93,5.921390734471734,52.0,2,0,0,0.0,0.0
618233,N24001421,MoRTH,ROAD TRANSPORT & HIGHWAYS,Mega,1948.25,7.57519996218971,67.0,3,1,2,0.0,0.0
618234,N24000943,MoRTH,ROAD TRANSPORT & HIGHWAYS,Mega,1478.4,7.2993918791537675,69.0,5,3,3,111.0,23250.0
