project_id,project_name,agency,legacy_ocms_code,state,approval_start_date,actual_completion_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,report_month,source_file,source_table
N24001949,NH167B FROM KM 99.103 CS PURAM TO KM 143.320 MALAKONDA TO 2LPS,MoRTH,N24001949,N24001949,,2024-03,2024-03,,277.3,,206.25,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001950,NH167B FROM KM.143.320 MALAKONDA TO 189.050 SINGARAYAKONDA ON NH 16 TO TWO LANE WITH PAVED SHOULDERS,MoRTH,N24001950,N24001950,,2025-02,2025-02,,369.81,,303.78,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24002141,2 LANE WITH PAVED SHOULDER CONFIGURATION FROM SEETHARAMAPURAM TO DUTTALURU SECTION OF NH-167 BG FROM,MoRTH,N24002141,N24002141,,2025-07,2025-07,,364.07,,227.21,2025-04,FRApril2025.pdf,Table 3: Completed Projects
180100210,PARBATI HEP (4X200 MW) (NHPC) II RAILWAYS,4X200 MW,180100210,NHPC,,2009-09,2009-09,,3919.59,,12832.59,2025-05,FR_May2025.pdf,Table 3: Completed Projects
220100133,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR",NL,220100133,NR,,2024-08,2024-08,,37012.0,,42328.83,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N06000189,TALABIRA II AND III OCP HEALTH AND FAMILY WELFARE,NLC,N06000189,N06000189,,2027-01,2027-01,,2401.07,,1626.71,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N16000361,ADDITIONAL STORAGE TANKS AT PARADIP POWER,IOCL,N16000361,N16000361,,2021-09,2021-09,,462.3,,493.72,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000183,NEW BONGAIGAON-RANGIA-KAMAKGHYA DOUBLING,NFR,N22000183,N22000183,,2024-08,2024-08,,2047.51,,3709.47,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000401,VARANASI-MODHOSINGH-ALLAHABAD DOUBLING,RVNL,N22000401,N22000401,,2024-12,2024-12,,2018.23,,1780.22,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000417,2880.4,ECR,N22000417,N22000417,,2024-08,2024-08,,2880.4,,3074.78,2025-05,FR_May2025.pdf,Table 3: Completed Projects
